Species,Owner,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points
Arabica,lusso lab,El Salvador,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58
Arabica,kona pacific farmers cooperative,United States of America,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58
Arabica,essencecoffee,Panama,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5
Arabica,essencecoffee,Kenya,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5
Arabica,assefa belay coffee producer,Ethiopia,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5
Arabica,kyagalanyi ltd,Uganda,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5
Arabica,juan luis alvarado romero,Guatemala,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5
Arabica,assefa belay coffee producer,Ethiopia,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42
Arabica,great lakes coffee uganda,Uganda,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42
Arabica,kona pacific farmers cooperative,United States of America,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42
Arabica,nucoffee,Brazil,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42
Arabica,grounds for health admin,El Salvador,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42
Arabica,yunnan coffee exchange,China,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33
Arabica,essencecoffee,Guatemala,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33
Arabica,the coffee source inc.,Costa Rica,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33
Arabica,the coffee source inc.,Costa Rica,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33
Arabica,rashid moledina & co. (msa) ltd.,Kenya,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33
Arabica,ibero kenya limited,Kenya,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33
Arabica,ethiopia commodity exchange,Ethiopia,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33
Arabica,ethiopia commodity exchange,Ethiopia,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33
Arabica,juan luis alvarado romero,Guatemala,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25
Arabica,exportadora de cafe condor s.a,Colombia,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25
Arabica,compañia colombiana agroindustrial s.a,Colombia,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25
Arabica,"nomura trading co., ltd.",Indonesia,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17
Arabica,the coffee source inc.,Guatemala,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17
Arabica,seid damtew coffee planataion,Ethiopia,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08
Arabica,carcafe ltda ci,Colombia,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08
Arabica,steven kil,Ethiopia,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08
Arabica,eileen koyanagi,United States of America,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08
Arabica,carcafe ltda ci,Colombia,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08
Arabica,kona pacific farmers cooperative,United States of America,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08
Arabica,ethiopia commodity exchange,Ethiopia,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08
Arabica,kona pacific farmers cooperative,United States of America,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08
Arabica,kyagalanyi coffee ltd,Uganda,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0
Arabica,racafe & cia s.c.a,Colombia,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,troy quimby,Costa Rica,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0
Arabica,"el equimite, cafetal biodinámico",Mexico,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0
Arabica,simon mahinda,Kenya,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,rashid moledina & co. (msa) ltd.,Kenya,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0
Arabica,nucoffee,Brazil,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0
Arabica,young kim,Mexico,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,kona pacific farmers cooperative,United States of America,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0
Arabica,carl walker,Guatemala,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0
Arabica,racafe & cia s.c.a,Colombia,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92
Arabica,racafe & cia s.c.a,Colombia,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92
Arabica,"lin, che-hao krude 林哲豪",Taiwan,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92
Arabica,taylor winch (t) ltd,United Republic of Tanzania,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92
Arabica,racafe & cia s.c.a,Colombia,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92
Arabica,artemio zapata tejeda,Mexico,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92
Arabica,nucoffee,Brazil,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92
Arabica,nucoffee,Brazil,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92
Arabica,brian speckman,Kenya,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92
Arabica,"lin, che-hao krude 林哲豪",Taiwan,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83
Arabica,kawacom uganda ltd,Uganda,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83
Arabica,kona pacific farmers cooperative,United States of America,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83
Arabica,ethiopia commodity exchange,Ethiopia,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83
Arabica,philip schluter,Ethiopia,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83
Arabica,松澤宏樹 koju matsuzawa,Thailand,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75
Arabica,lydiah mwangi,Kenya,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75
Arabica,cadexsa,Honduras,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75
Arabica,the coffee source inc.,El Salvador,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75
Arabica,grounds for health admin,Nicaragua,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75
Arabica,consejo salvadoreño del café,El Salvador,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67
Arabica,sanjava coffee,Indonesia,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67
Arabica,松澤宏樹 koju matsuzawa,Japan,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67
Arabica,rodrigo soto,Costa Rica,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67
Arabica,juan luis alvarado romero,Guatemala,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,fabian calderon mora,Costa Rica,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67
Arabica,essencecoffee,Ethiopia,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67
Arabica,essencecoffee,Costa Rica,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67
Arabica,eric thormaehlen,Costa Rica,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67
Arabica,rob tuttle,Costa Rica,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67
Arabica,compañia colombiana agroindustrial s.a,Colombia,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,dream together,Kenya,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,juan luis alvarado romero,Guatemala,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67
Arabica,juan luis alvarado romero,Guatemala,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67
Arabica,organizaciones de productores de cafe colimense,Mexico,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,afca,Uganda,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,benjamin schmerler,Peru,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,ethiopia commodity exchange,Ethiopia,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67
Arabica,jungle estate,Kenya,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58
Arabica,racafe & cia s.c.a,Colombia,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58
Arabica,racafe & cia s.c.a,Colombia,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58
Arabica,daniel magu,Kenya,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58
Arabica,juan luis alvarado romero,Guatemala,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58
Arabica,juan luis alvarado romero,Guatemala,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58
Arabica,compañia colombiana agroindustrial s.a,Colombia,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58
Arabica,racafe & cia s.c.a,Colombia,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58
Arabica,taylor winch (coffee) ltd.,Kenya,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58
Arabica,exportadora de cafe condor s.a,Colombia,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58
Arabica,lusso lab,Costa Rica,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58
Arabica,exportadora de cafe condor s.a,Colombia,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58
Arabica,nucoffee,Brazil,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58
Arabica,nucoffee,Brazil,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58
Arabica,max gurdian,Costa Rica,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5
Arabica,ecom japan limited,Uganda,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5
Arabica,yunnan coffee exchange,China,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5
Arabica,fabian calderon mora,Costa Rica,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5
Arabica,federacion nacional de cafeteros,Colombia,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5
Arabica,eric wu,China,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5
Arabica,juan luis alvarado romero,Guatemala,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5
Arabica,dream together,Kenya,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5
Arabica,maria imelda uscanga martinez,Mexico,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5
Arabica,alfredo bojalil,Mexico,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5
Arabica,juan luis alvarado romero,Guatemala,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5
Arabica,daniel friedlander,Brazil,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5
Arabica,alexandra katona-carroll,Brazil,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5
Arabica,max gurdian,Costa Rica,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42
Arabica,aulia arif syahri,Indonesia,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42
Arabica,carcafe ltda ci,Colombia,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42
Arabica,racafe & cia s.c.a,Colombia,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,kao ming lee,Taiwan,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,kona pacific farmers cooperative,United States of America,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42
Arabica,maria amalia guadalupe toriello elorza,Mexico,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42
Arabica,ethiopia commodity exchange,Ethiopia,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,lydiah mwangi,Kenya,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33
Arabica,bismarck castro,Honduras,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33
Arabica,raúl vargas,Colombia,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33
Arabica,bismarck castro,Honduras,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33
Arabica,racafe & cia s.c.a,Colombia,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.33
Arabica,carcafe ltda ci,Colombia,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33
Arabica,exportadora de cafe condor s.a,Colombia,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33
Arabica,victor hugo melchor cordova,Mexico,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33
Arabica,nucoffee,Brazil,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33
Arabica,nucoffee,Brazil,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33
Arabica,benjamin schmerler,Ethiopia,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,84.33
Arabica,the coffee source inc.,Guatemala,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,84.33
Arabica,"lin, che-hao krude 林哲豪",Taiwan,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25
Arabica,松澤宏樹 koju matsuzawa,Thailand,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25
Arabica,carcafe ltda ci,Colombia,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25
Arabica,juan luis alvarado romero,Guatemala,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25
Arabica,juan luis alvarado romero,Guatemala,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25
Arabica,yunnan coffee exchange,China,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25
Arabica,racafe & cia s.c.a,Colombia,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25
Arabica,racafe & cia s.c.a,Colombia,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.25
Arabica,federacion nacional de cafeteros,Colombia,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,84.25
Arabica,carcafe ltda ci,Colombia,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,84.25
Arabica,tembo coffee company ltd,United Republic of Tanzania,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,84.25
Arabica,taylor winch (t) ltd,United Republic of Tanzania,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.25
Arabica,juan luis alvarado romero,Guatemala,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25
Arabica,exportadora de cafe condor s.a,Colombia,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.25
Arabica,kona pacific farmers cooperative,United States of America,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,84.25
Arabica,jesus salazar velasco,Mexico,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25
Arabica,manuel herrera juarez,Mexico,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25
Arabica,alfredo bojalil,Mexico,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25
Arabica,afca,Uganda,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25
Arabica,juan luis alvarado romero,Guatemala,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17
Arabica,racafe & cia s.c.a,Colombia,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,84.17
Arabica,wayner jimenez,Costa Rica,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,84.17
